# Cluster 0 (n=144)
word	score	p_in	p_out	in_docs	out_docs
size	3.6958	0.986	0.024	142	116
europe	1.6705	0.146	0.027	21	130

# Cluster 1 (n=46)
word	score	p_in	p_out	in_docs	out_docs
hexagram	5.7531	0.457	0.001	21	7
462	4.8771	0.109	0.001	5	4
ching	4.7661	0.413	0.004	19	17
bus	3.2414	0.196	0.008	9	37
output	3.0456	0.130	0.006	6	30
input	2.8972	0.109	0.006	5	29
tax	2.5269	0.109	0.009	5	42
memory	2.4114	0.152	0.014	7	66
processor	2.1702	0.109	0.012	5	60
ibm	2.0599	0.109	0.014	5	67
million	1.7741	0.130	0.022	6	107
address	1.5024	0.109	0.024	5	117
power	1.0071	0.109	0.040	5	192
data	0.9865	0.109	0.041	5	196
state	0.7499	0.196	0.092	9	447

# Cluster 2 (n=47)
word	score	p_in	p_out	in_docs	out_docs
ffff99	11.5748	0.106	0.000	5	0
color	3.9915	0.426	0.008	20	38
background	3.7461	0.447	0.011	21	51
total	1.5795	0.106	0.022	5	106
states	0.0761	0.128	0.118	6	572

# Cluster 3 (n=66)
word	score	p_in	p_out	in_docs	out_docs
sentenced	6.4825	0.136	0.000	9	1
indicted	5.6739	0.121	0.000	8	2
serb	4.8769	0.136	0.001	9	5
bosnian	4.7591	0.121	0.001	8	5
900	4.2895	0.136	0.002	9	9
sts	4.1559	0.106	0.002	7	8
customs	4.1559	0.106	0.002	7	8
violations	3.8376	0.106	0.002	7	11
iss	3.2400	0.106	0.004	7	20
800	3.1447	0.106	0.005	7	22
commander	2.9906	0.136	0.007	9	33
democratic	2.7495	0.182	0.012	12	56
crimes	2.5723	0.106	0.008	7	39
republic	2.3128	0.273	0.027	18	130
ndash	2.2387	0.273	0.029	18	140
october	2.0329	0.136	0.018	9	86
june	1.9627	0.121	0.017	8	82
laws	1.9627	0.121	0.017	8	82
november	1.8921	0.136	0.021	9	99
kingdom	1.8516	0.167	0.026	11	126
army	1.7251	0.121	0.022	8	104
text	1.6998	0.182	0.033	12	160
sup	1.5915	0.106	0.022	7	104
northern	1.5264	0.106	0.023	7	111
